iter	Passed	Remaining
455	942	1124
456	943	1121
457	944	1118
458	946	1115
459	947	1111
460	948	1108
461	949	1105
462	951	1103
463	953	1101
464	955	1098
465	956	1095
466	957	1092
467	958	1089
468	959	1086
469	960	1083
470	961	1079
471	962	1076
472	963	1073
473	966	1072
474	967	1069
475	968	1066
476	969	1063
477	970	1060
478	972	1057
479	973	1054
480	974	1051
481	975	1048
482	976	1045
483	977	1042
484	978	1039
485	980	1037
486	982	1034
487	983	1031
488	984	1028
489	985	1025
490	986	1022
491	987	1019
492	988	1016
493	990	1014
494	991	1011
495	992	1008
496	993	1005
497	994	1002
498	996	1000
499	997	997
500	998	994
501	999	991
502	1001	989
503	1002	986
504	1003	983
505	1004	980
506	1005	977
507	1006	974
508	1007	971
509	1008	969
510	1010	966
511	1011	964
512	1012	961
513	1013	958
514	1014	955
515	1016	953
516	1017	950
517	1018	947
518	1019	944
519	1020	942
520	1021	939
521	1023	936
522	1025	935
523	1027	932
524	1028	930
525	1030	928
526	1031	925
527	1033	923
528	1034	920
529	1035	918
530	1036	915
531	1038	913
532	1039	910
533	1040	908
534	1041	905
535	1043	903
536	1044	900
537	1045	897
538	1046	895
539	1047	892
540	1048	889
541	1049	887
542	1051	885
543	1054	883
544	1055	881
545	1056	878
546	1058	876
547	1059	873
548	1060	871
549	1061	868
550	1063	866
551	1064	863
552	1065	861
553	1066	858
554	1068	856
555	1069	854
556	1071	851
557	1072	849
558	1073	846
559	1074	844
560	1075	841
561	1077	839
562	1078	837
563	1079	834
564	1081	832
565	1082	830
566	1084	828
567	1085	825
568	1087	823
569	1088	821
570	1089	818
571	1090	816
572	1092	814
573	1093	811
574	1094	809
575	1096	806
576	1097	804
577	1099	802
578	1100	800
579	1101	797
580	1102	795
581	1104	792
582	1105	790
583	1106	788
584	1107	786
585	1109	783
586	1110	781
587	1111	778
588	1113	776
589	1114	774
590	1116	772
591	1117	770
592	1118	767
593	1120	765
594	1121	763
595	1122	761
596	1124	758
597	1125	756
598	1126	754
599	1128	752
600	1130	750
601	1131	747
602	1132	745
603	1133	743
604	1135	741
605	1136	738
606	1137	736
607	1138	734
608	1140	732
609	1141	729
610	1143	728
611	1144	725
612	1146	723
613	1147	721
614	1149	719
615	1150	717
616	1152	715
617	1153	712
618	1154	710
619	1155	708
620	1157	706
621	1158	704
622	1159	701
623	1161	699
624	1162	697
625	1163	695
626	1164	692
627	1165	690
628	1166	688
629	1168	686
630	1169	683
631	1170	681
632	1172	679
633	1173	677
634	1175	675
635	1176	673
636	1177	671
637	1179	668
638	1180	666
639	1181	664
640	1182	662
641	1183	660
642	1184	657
643	1186	655
644	1188	654
645	1189	652
646	1191	649
647	1192	647
648	1193	645
649	1195	643
650	1196	641
651	1197	639
652	1198	637
653	1199	634
654	1201	632
655	1202	630
656	1204	628
657	1205	626
658	1206	624
659	1208	622
660	1209	620
661	1210	618
662	1211	615
663	1213	613
664	1214	611
665	1215	609
666	1217	607
667	1218	605
668	1220	603
669	1221	601
670	1223	599
671	1224	597
672	1226	595
673	1228	594
674	1229	592
675	1232	590
676	1234	589
677	1235	586
678	1237	585
679	1238	583
680	1240	581
681	1241	579
682	1243	577
683	1246	575
684	1247	573
685	1250	572
686	1253	571
687	1254	569
688	1256	567
689	1257	564
690	1258	562
691	1259	560
692	1261	558
693	1262	556
694	1264	554
695	1265	552
696	1266	550
697	1268	548
698	1269	546
699	1270	544
700	1271	542
701	1272	540
702	1274	538
703	1275	536
704	1277	534
705	1277	532
706	1279	530
707	1280	528
708	1281	526
709	1282	523
710	1284	521
711	1285	519
712	1286	517
713	1287	515
714	1288	513
715	1290	511
716	1291	509
717	1293	507
718	1294	505
719	1295	503
720	1297	501
721	1298	499
722	1299	497
723	1300	495
724	1302	493
725	1303	491
726	1304	489
727	1306	488
728	1307	486
729	1309	484
730	1310	482
731	1311	480
732	1312	478
733	1313	476
734	1315	474
735	1316	472
736	1317	470
737	1318	468
738	1320	466
739	1321	464
740	1323	462
741	1324	460
742	1325	458
743	1326	456
744	1328	454
745	1329	452
746	1330	450
747	1332	448
748	1333	446
749	1334	444
750	1336	443
751	1337	441
752	1338	439
753	1340	437
754	1341	435
755	1342	433
756	1343	431
757	1344	429
758	1346	427
759	1347	425
760	1348	423
761	1350	421
762	1352	419
763	1353	418
764	1354	416
765	1355	414
766	1357	412
767	1358	410
768	1359	408
769	1360	406
770	1361	404
771	1363	402
772	1364	400
773	1365	398
774	1367	396
775	1368	394
776	1369	393
777	1370	391
778	1372	389
779	1373	387
780	1374	385
781	1375	383
782	1376	381
783	1378	379
784	1379	377
785	1381	376
786	1382	374
787	1384	372
788	1385	370
789	1387	368
790	1389	367
791	1391	365
792	1393	363
793	1394	361
794	1396	359
795	1397	358
796	1398	356
797	1399	354
798	1400	352
799	1402	350
800	1403	348
801	1404	346
802	1405	344
803	1407	343
804	1408	341
805	1409	339
806	1411	337
807	1412	335
808	1413	333
809	1415	331
810	1416	330
811	1417	328
812	1418	326
813	1420	324
814	1421	322
815	1422	320
816	1423	318
817	1425	317
818	1426	315
819	1427	313
820	1428	311
821	1430	309
822	1431	307
823	1432	305
824	1433	304
825	1434	302
826	1436	300
827	1437	298
828	1439	296
829	1440	295
830	1442	293
831	1443	291
832	1444	289
833	1446	287
834	1447	285
835	1448	284
836	1449	282
837	1450	280
838	1452	278
839	1453	276
840	1455	275
841	1456	273
842	1457	271
843	1459	269
844	1460	267
845	1461	266
846	1463	264
847	1464	262
848	1465	260
849	1467	258
850	1468	257
851	1469	255
852	1471	253
853	1472	251
854	1473	249
855	1475	248
856	1476	246
857	1477	244
858	1478	242
859	1479	240
860	1481	239
861	1482	237
862	1483	235
863	1485	233
864	1486	231
865	1487	230
866	1488	228
867	1490	226
868	1491	224
869	1492	223
870	1493	221
871	1495	219
872	1496	217
873	1497	215
874	1499	214
875	1500	212
876	1502	210
877	1503	208
878	1504	207
879	1505	205
880	1507	203
881	1509	201
882	1511	200
883	1512	198
884	1513	196
885	1515	195
886	1516	193
887	1518	191
888	1519	189
889	1520	187
890	1521	186
891	1523	184
892	1524	182
893	1525	180
894	1526	179
895	1528	177
896	1529	175
897	1531	173
898	1532	172
899	1533	170
900	1534	168
901	1536	166
902	1537	165
903	1538	163
904	1539	161
905	1540	159
906	1542	158
907	1543	156
908	1545	154
909	1546	152
910	1547	151
911	1548	149
912	1549	147
913	1551	145
914	1552	144
915	1553	142
916	1554	140
917	1556	138
918	1557	137
919	1558	135
920	1560	133
921	1561	132
922	1562	130
923	1564	128
924	1565	126
925	1566	125
926	1567	123
927	1568	121
928	1570	120
929	1571	118
930	1572	116
931	1574	114
932	1575	113
933	1576	111
934	1577	109
935	1579	107
936	1580	106
937	1581	104
938	1583	102
939	1584	101
940	1585	99
941	1586	97
942	1588	95
943	1589	94
944	1591	92
945	1593	90
946	1594	89
947	1595	87
948	1596	85
949	1598	84
950	1599	82
951	1600	80
952	1601	78
953	1602	77
954	1604	75
955	1606	73
956	1607	72
957	1608	70
958	1609	68
959	1610	67
960	1612	65
961	1613	63
962	1614	62
963	1615	60
964	1617	58
965	1619	57
966	1620	55
967	1622	53
968	1623	51
969	1624	50
970	1626	48
971	1627	46
972	1628	45
973	1629	43
974	1630	41
975	1632	40
976	1634	38
977	1635	36
978	1636	35
979	1638	33
980	1639	31
981	1640	30
982	1642	28
983	1643	26
984	1645	25
985	1646	23
986	1648	21
987	1649	20
988	1651	18
989	1652	16
990	1653	15
991	1655	13
992	1656	11
993	1657	10
994	1658	8
995	1660	6
996	1661	4
997	1662	3
998	1664	1
999	1665	0
